"id","adage","owner","keywords","language","created_at","updated_at"
"720","Bir amaca bağlanmayan ruh yolunu kaybeder. Çünkü her yerde olmak hiçbir yerde olmamaktır.","Michel de Montaigne (Denemeler, I. kitap, 9. bölüm)","amaç, yaşam, yol, hedef","1","2024-02-19 15:41:03","2024-02-19 15:41:03"
"721","İnsan varoluşunun gizemi yalnızca hayatta kalmakta değil, uğrunda yaşanacak bir şey bulmakta yatar.","Fyodor Dostoyevski","Yaşamak, amaç, ölmek","1","2024-02-27 09:22:23","2024-02-27 09:22:23"
"722","Tanrı cezalandırmak istediği kişiye yüksek bir farkındalık bahşeder.","Yahudi Atasözü","farkındalık, yaşamak, ceza","1","2024-03-27 17:24:23","2024-03-27 17:24:23"
"723","Sağlıklı ve uzun yaşamak için yarısını yiyin, iki kat yürüyün, üç kat gülün ve sınırsız sevin.","Tibet Atasözü","sevgi, sağlık, yaşam, gülmek, yürümek, yemek","1","2024-04-02 08:56:53","2024-04-02 08:56:53"
"724","Karıncayı bile incitmem deme! Bile'den incinir karınca. Söz söylemek irfan ister, anlamak insan.","Fuzuli","söz, kelam, karınca, dikkat, özen, irfan, insan","1","2024-04-04 14:21:38","2024-04-04 14:21:38"
"725","Ölçüyü bir defa aşan için sınır diye bir şey olmaz artık.","Epiktetos","ölçü, yaşam, sınır, bozulmak, aşırılık","1","2024-04-15 18:32:14","2024-04-15 18:32:14"
"726","Köşende oturup insanların sana gelmesini bekleyemezsin. Bazen senin onlara gitmen gerekir.","Winnie the Pooh","yaşam, hareket, beklenti","1","2024-04-24 09:00:29","2024-04-24 09:00:29"
"727","Hayatının bir saatini bile boşa harcamaya cüret edebilen biri, hayatın değerini anlamamıştır.","Charles Darwin","zaman, yönetimi, boş, harcama, değer","1","2024-05-03 11:25:28","2024-05-03 11:25:28"
"728","İnsanın hiçbir şey bilmediğini bilmesi için, çok şey öğrenmesi gerekir.","Sokrates","bilmek, öğrenmek, yaşamak","1","2024-05-12 12:34:00","2024-05-12 12:34:00"
"729","Düşünceye düşünceyle karşı çıkılır, cezayla değil.","İoanna Kuçuradi","düşünce, ceza, savaş, karşıtlık","1","2024-05-30 12:06:59","2024-05-30 12:06:59"
